NIFTY 200 SYMBOLS LIST
=====================
Generated: 2025-10-25 22:58:29
Total Symbols: 200

ALL SYMBOLS:
============
  1. RELIANCE             NSE:RELIANCE-EQ
  2. TCS                  NSE:TCS-EQ
  3. HDFCBANK             NSE:HDFCBANK-EQ
  4. ICICIBANK            NSE:ICICIBANK-EQ
  5. HINDUNILVR           NSE:HINDUNILVR-EQ
  6. INFY                 NSE:INFY-EQ
  7. ITC                  NSE:ITC-EQ
  8. SBIN                 NSE:SBIN-EQ
  9. BHARTIARTL           NSE:BHARTIARTL-EQ
 10. KOTAKBANK            NSE:KOTAKBANK-EQ
 11. LT                   NSE:LT-EQ
 12. AXISBANK             NSE:AXISBANK-EQ
 13. ASIANPAINT           NSE:ASIANPAINT-EQ
 14. MARUTI               NSE:MARUTI-EQ
 15. SUNPHARMA            NSE:SUNPHARMA-EQ
 16. TITAN                NSE:TITAN-EQ
 17. BAJFINANCE           NSE:BAJFINANCE-EQ
 18. HCLTECH              NSE:HCLTECH-EQ
 19. ULTRACEMCO           NSE:ULTRACEMCO-EQ
 20. WIPRO                NSE:WIPRO-EQ
 21. NESTLEIND            NSE:NESTLEIND-EQ
 22. NTPC                 NSE:NTPC-EQ
 23. POWERGRID            NSE:POWERGRID-EQ
 24. TATAMOTORS           NSE:TATAMOTORS-EQ
 25. ADANIENT             NSE:ADANIENT-EQ
 26. BAJAJFINSV           NSE:BAJAJFINSV-EQ
 27. ONGC                 NSE:ONGC-EQ
 28. COALINDIA            NSE:COALINDIA-EQ
 29. TATASTEEL            NSE:TATASTEEL-EQ
 30. DIVISLAB             NSE:DIVISLAB-EQ
 31. TECHM                NSE:TECHM-EQ
 32. HINDALCO             NSE:HINDALCO-EQ
 33. DRREDDY              NSE:DRREDDY-EQ
 34. CIPLA                NSE:CIPLA-EQ
 35. INDUSINDBK           NSE:INDUSINDBK-EQ
 36. JSWSTEEL             NSE:JSWSTEEL-EQ
 37. GRASIM               NSE:GRASIM-EQ
 38. BRITANNIA            NSE:BRITANNIA-EQ
 39. M&M                  NSE:M&M-EQ
 40. EICHERMOT            NSE:EICHERMOT-EQ
 41. BAJAJ-AUTO           NSE:BAJAJ-AUTO-EQ
 42. BPCL                 NSE:BPCL-EQ
 43. ADANIPORTS           NSE:ADANIPORTS-EQ
 44. IOC                  NSE:IOC-EQ
 45. APOLLOHOSP           NSE:APOLLOHOSP-EQ
 46. SHRIRAMFIN           NSE:SHRIRAMFIN-EQ
 47. LTIM                 NSE:LTIM-EQ
 48. HEROMOTOCO           NSE:HEROMOTOCO-EQ
 49. SBILIFE              NSE:SBILIFE-EQ
 50. PIDILITIND           NSE:PIDILITIND-EQ
 51. TATACONSUM           NSE:TATACONSUM-EQ
 52. GODREJCP             NSE:GODREJCP-EQ
 53. UPL                  NSE:UPL-EQ
 54. HDFCLIFE             NSE:HDFCLIFE-EQ
 55. ICICIPRULI           NSE:ICICIPRULI-EQ
 56. VEDL                 NSE:VEDL-EQ
 57. TRENT                NSE:TRENT-EQ
 58. DABUR                NSE:DABUR-EQ
 59. JINDALSTL            NSE:JINDALSTL-EQ
 60. GAIL                 NSE:GAIL-EQ
 61. LICI                 NSE:LICI-EQ
 62. BAJAJHLDNG           NSE:BAJAJHLDNG-EQ
 63. BANKBARODA           NSE:BANKBARODA-EQ
 64. SIEMENS              NSE:SIEMENS-EQ
 65. ABB                  NSE:ABB-EQ
 66. MARICO               NSE:MARICO-EQ
 67. NAUKRI               NSE:NAUKRI-EQ
 68. TORNTPHARM           NSE:TORNTPHARM-EQ
 69. MUTHOOTFIN           NSE:MUTHOOTFIN-EQ
 70. BERGEPAINT           NSE:BERGEPAINT-EQ
 71. JINDALSTEL           NSE:JINDALSTEL-EQ
 72. CHOLAFIN             NSE:CHOLAFIN-EQ
 73. AMBUJACEM            NSE:AMBUJACEM-EQ
 74. LUPIN                NSE:LUPIN-EQ
 75. SAIL                 NSE:SAIL-EQ
 76. BOSCHLTD             NSE:BOSCHLTD-EQ
 77. MOTHERSON            NSE:MOTHERSON-EQ
 78. HAVELLS              NSE:HAVELLS-EQ
 79. PNB                  NSE:PNB-EQ
 80. CUMMINSIND           NSE:CUMMINSIND-EQ
 81. MCDOWELL-N           NSE:MCDOWELL-N-EQ
 82. COLPAL               NSE:COLPAL-EQ
 83. CANFINHOME           NSE:CANFINHOME-EQ
 84. INDIGO               NSE:INDIGO-EQ
 85. ESCORTS              NSE:ESCORTS-EQ
 86. BATAINDIA            NSE:BATAINDIA-EQ
 87. AUBANK               NSE:AUBANK-EQ
 88. HINDZINC             NSE:HINDZINC-EQ
 89. BANDHANBNK           NSE:BANDHANBNK-EQ
 90. VOLTAS               NSE:VOLTAS-EQ
 91. DALBHARAT            NSE:DALBHARAT-EQ
 92. POLYCAB              NSE:POLYCAB-EQ
 93. BEL                  NSE:BEL-EQ
 94. IDFCFIRSTB           NSE:IDFCFIRSTB-EQ
 95. BIOCON               NSE:BIOCON-EQ
 96. RBLBANK              NSE:RBLBANK-EQ
 97. OFSS                 NSE:OFSS-EQ
 98. ZYDUSLIFE            NSE:ZYDUSLIFE-EQ
 99. CONCOR               NSE:CONCOR-EQ
100. PAGEIND              NSE:PAGEIND-EQ
101. ZEEL                 NSE:ZEEL-EQ
102. PVR                  NSE:PVR-EQ
103. INOXLEISUR           NSE:INOXLEISUR-EQ
104. ADANIGREEN           NSE:ADANIGREEN-EQ
105. ADANIPOWER           NSE:ADANIPOWER-EQ
106. ADANITRANS           NSE:ADANITRANS-EQ
107. JINDALSTEL           NSE:JINDALSTEL-EQ
108. RPOWER               NSE:RPOWER-EQ
109. TORNTPOWER           NSE:TORNTPOWER-EQ
110. BHEL                 NSE:BHEL-EQ
111. CROMPTON             NSE:CROMPTON-EQ
112. WHIRLPOOL            NSE:WHIRLPOOL-EQ
113. JKCEMENT             NSE:JKCEMENT-EQ
114. INDIACEM             NSE:INDIACEM-EQ
115. ORIENT               NSE:ORIENT-EQ
116. JKPAPER              NSE:JKPAPER-EQ
