NIFTY 50 SYMBOLS LIST
====================
Generated: 2025-10-26 20:12:25
Total Symbols: 50

ALL SYMBOLS:
============
 1. RELIANCE             NSE:RELIANCE-EQ
 2. TCS                  NSE:TCS-EQ
 3. HDFCBANK             NSE:HDFCBANK-EQ
 4. ICICIBANK            NSE:ICICIBANK-EQ
 5. HINDUNILVR           NSE:HINDUNILVR-EQ
 6. INFY                 NSE:INFY-EQ
 7. ITC                  NSE:ITC-EQ
 8. SBIN                 NSE:SBIN-EQ
 9. BHARTIARTL           NSE:BHARTIARTL-EQ
10. KOTAKBANK            NSE:KOTAKBANK-EQ
11. LT                   NSE:LT-EQ
12. AXISBANK             NSE:AXISBANK-EQ
13. ASIANPAINT           NSE:ASIANPAINT-EQ
14. MARUTI               NSE:MARUTI-EQ
15. SUNPHARMA            NSE:SUNPHARMA-EQ
16. TITAN                NSE:TITAN-EQ
17. BAJFINANCE           NSE:BAJFINANCE-EQ
18. HCLTECH              NSE:HCLTECH-EQ
19. ULTRACEMCO           NSE:ULTRACEMCO-EQ
20. WIPRO                NSE:WIPRO-EQ
21. NESTLEIND            NSE:NESTLEIND-EQ
22. NTPC                 NSE:NTPC-EQ
23. POWERGRID            NSE:POWERGRID-EQ
24. TATAMOTORS           NSE:TATAMOTORS-EQ
25. ADANIENT             NSE:ADANIENT-EQ
26. BAJAJFINSV           NSE:BAJAJFINSV-EQ
27. ONGC                 NSE:ONGC-EQ
28. COALINDIA            NSE:COALINDIA-EQ
29. TATASTEEL            NSE:TATASTEEL-EQ
30. DIVISLAB             NSE:DIVISLAB-EQ
31. TECHM                NSE:TECHM-EQ
32. HINDALCO             NSE:HINDALCO-EQ
33. DRREDDY              NSE:DRREDDY-EQ
34. CIPLA                NSE:CIPLA-EQ
35. INDUSINDBK           NSE:INDUSINDBK-EQ
36. JSWSTEEL             NSE:JSWSTEEL-EQ
37. GRASIM               NSE:GRASIM-EQ
38. BRITANNIA            NSE:BRITANNIA-EQ
39. M&M                  NSE:M&M-EQ
40. EICHERMOT            NSE:EICHERMOT-EQ
41. BAJAJ-AUTO           NSE:BAJAJ-AUTO-EQ
42. BPCL                 NSE:BPCL-EQ
43. ADANIPORTS           NSE:ADANIPORTS-EQ
44. IOC                  NSE:IOC-EQ
45. APOLLOHOSP           NSE:APOLLOHOSP-EQ
46. SHRIRAMFIN           NSE:SHRIRAMFIN-EQ
47. LTIM                 NSE:LTIM-EQ
48. HEROMOTOCO           NSE:HEROMOTOCO-EQ
49. SBILIFE              NSE:SBILIFE-EQ
50. PIDILITIND           NSE:PIDILITIND-EQ
